Brand,Model,Category,Engine_CC,Transmission,Type
Honda,,,,,
Honda,Wave 110i (2026),Family,110,Manual,Moped
Honda,Wave 125i (2026),Family,125,Manual,Moped
Honda,Scoopy (2026),Scooter,110,Automatic,Fashion Scooter
Honda,Giorno+,Scooter,125,Automatic,Fashion Scooter
Honda,PCX160,Scooter,157,Automatic,Premium Scooter
Honda,Click 160,Scooter,157,Automatic,Sport Scooter
Honda,Click 125,Scooter,125,Automatic,Sport Scooter
Honda,Lead 125 (ABS),Scooter,125,Automatic,Utility Scooter
Honda,ADV160,Scooter,157,Automatic,Adventure Scooter
Honda,Forza 350 (2026),Big Scooter,330,Automatic,Premium Scooter
Honda,ADV350,Scooter,330,Automatic,Adventure Scooter
Honda,Monkey 125,Lifestyle,125,Manual,Mini Bike
Honda,Dax 125,Lifestyle,125,Manual,Mini Bike
Honda,CT125,Lifestyle,125,Manual,Hunter Postie
Honda,CB150R,Naked,150,Manual,Neo Sport Cafe
Honda,CBR150R,Sport,150,Manual,Sport City
Honda,CRF300L,Dual Purpose,286,Manual,Off-Road
Honda,CRF300 Rally,Adventure,286,Manual,Light Adventure
Honda,Rebel 300,Cruiser,286,Manual,Bobber
Honda,CB300R,Naked,286,Manual,Neo Sport Cafe
Honda,CL300,Scrambler,286,Manual,Modern Scrambler
Honda,CBR500R (E-Clutch),Sport,471,Manual/Auto,Sport Performance
Honda,CB500 Hornet,Naked,471,Manual,Street Fighter
Honda,NX500,Adventure,471,Manual,Crossover
Honda,Rebel 500,Cruiser,471,Manual,Bobber
Honda,CL500,Scrambler,471,Manual,Modern Scrambler
Honda,CBR650R (E-Clutch),Sport,649,Manual/Auto,Sport City
Honda,CB650R (E-Clutch),Naked,649,Manual/Auto,Neo Sport Cafe
Honda,CB750 Hornet,Naked,755,Manual,Street Fighter
Honda,XL750 Transalp,Adventure,755,Manual,Touring Adventure
Honda,X-ADV (2026),Adventure Scooter,745,Automatic,Crossover
Honda,Forza 750 (2026),Big Scooter,745,Automatic,Premium Scooter
Honda,Rebel 1100 (DCT),Cruiser,1084,Automatic,Modern Bobber
Honda,NT1100 (2026),Touring,1084,Automatic,Sport Touring
Honda,CRF1100L Africa Twin,Adventure,1084,Manual/DCT,Touring Adventure
Honda,CB1000 Hornet SP,Naked,999,Manual,Hyper Naked
Honda,CBR1000RR-R,Superbike,1000,Manual,Sport Performance
Honda,Goldwing Tour,Touring,1833,Automatic,Luxury Touring
Honda,UC3 (2026),EV,N/A,Automatic,Electric Scooter
Honda,GB350C (2026),Classic,348,Manual,Modern Classic
Yamaha,,,,,
Yamaha,Finn (2026),Family,115,Manual,Moped
Yamaha,Exciter 155 (2026),Family Sport,155,Manual,Underbone
Yamaha,PG-1,Lifestyle,115,Manual,Outdoor Lifestyle
Yamaha,Grand Filano Hybrid (2026),Scooter,125,Automatic,Fashion Scooter
Yamaha,Fazzio (2026),Scooter,125,Automatic,Fashion Scooter
Yamaha,GT125,Scooter,125,Automatic,Sport Scooter
Yamaha,NMAX Turbo (2025),Scooter,155,Automatic (Y-AMT),Premium Scooter
Yamaha,NMAX (Standard),Scooter,155,Automatic,Premium Scooter
Yamaha,Aerox (2025),Scooter,155,Automatic,Sport Scooter
Yamaha,Lexi 155,Scooter,155,Automatic,Premium Scooter
Yamaha,XMAX Tech Max (2026),Big Scooter,292,Automatic,Sport Scooter
Yamaha,XMAX 300 (Standard),Big Scooter,292,Automatic,Sport Scooter
Yamaha,TMAX 560 (2026),Big Scooter,562,Automatic,Sport Scooter
Yamaha,R15 Connected,Sport,155,Manual,Sport City
Yamaha,R15M Connected,Sport,155,Manual,Sport City
Yamaha,R3 (2026),Sport,321,Manual,Sport Performance
Yamaha,R7,Sport,689,Manual,Supersport
Yamaha,R9 (2026),Sport,890,Manual,Supersport
Yamaha,R1 (Final Edition),Superbike,998,Manual,Sport Performance
Yamaha,MT-15,Naked,155,Manual,Street Fighter
Yamaha,MT-03,Naked,321,Manual,Street Fighter
Yamaha,MT-07 (2026),Naked,689,Manual,Hyper Naked
Yamaha,MT-09 (2024-2025),Naked,890,Manual,Hyper Naked
Yamaha,MT-09 SP (2026),Naked,890,Manual,Hyper Naked
Yamaha,MT-10 SP,Naked,998,Manual,Hyper Naked
Yamaha,XSR155,Neo Classic,155,Manual,Sport Heritage
Yamaha,XSR700,Neo Classic,689,Manual,Sport Heritage
Yamaha,XSR900,Neo Classic,890,Manual,Sport Heritage
Yamaha,XSR900 GP,Neo Classic,890,Manual,Sport Heritage
Yamaha,SR400 (2026),Classic,399,Manual,Legendary Classic
Yamaha,Tenere 700 (Standard),Adventure,689,Manual,Rally Adventure
Yamaha,Tenere 700 World Raid,Adventure,689,Manual,Rally Adventure
Yamaha,Tracer 9 GT+,Touring,890,Manual,Sport Touring
Yamaha,Bolt R-Spec,Cruiser,942,Manual,Bobber
Yamaha,E01 (Trial),EV,N/A,Automatic,Electric Scooter
Suzuki,,,,,
Suzuki,Smash Fi (Next Edition),Family,113,Manual,Moped
Suzuki,Raider R150 (2025),Family Sport,147,Manual,Underbone
Suzuki,Raider J Crossover,Lifestyle,113,Manual,Moped Crossover
Suzuki,Nex Crossover,Scooter,113,Automatic,Moped Crossover
Suzuki,Address 125 (2026),Scooter,124,Automatic,Classic Scooter
Suzuki,Avenis 125,Scooter,124,Automatic,Sport Scooter
Suzuki,Burgman Street 125 EX,Scooter,124,Automatic,Luxury Scooter
Suzuki,Burgman 400,Big Scooter,400,Automatic,Premium Scooter
Suzuki,GSX-R150,Sport,147,Manual,Sport City
Suzuki,GSX-S150,Naked,147,Manual,Street Fighter
Suzuki,GSX-8R (2025),Sport,776,Manual,Sport Performance
Suzuki,GSX-8S,Naked,776,Manual,Street Fighter
Suzuki,GSX-S1000,Naked,999,Manual,Hyper Naked
Suzuki,GSX-S1000GT,Touring,999,Manual,Sport Touring
Suzuki,GSX-S1000GX (2025),Crossover,999,Manual,Grand American Crossover
